trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",20,16,8.77111833482156,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",25,0,-137.360837474957,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",30,0,-70.23684384536321,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",25,0,-196.17939604088463,"{0: 10, 1: 1, 2: 12, 3: 0, 4: 2}",0
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",20,0,-121.81476440428948,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",25,0,-232.50088447388936,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",20,0,-149.95783550187943,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,0,-94.8718358598189,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,3,-85.79727175592724,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
10,False,"{'a': 0.005, 'e': 0.9559974818331}",25,0,-69.3616669944583,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-56.95316192953216,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,-43.714855755620206,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",25,7,-67.75454956727947,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-37.65793370914468,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-85.06265939606254,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",35,0,-113.87295516307097,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-91.50417458213042,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9185122844014574}",20,0,-28.76867662832496,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.005, 'e': 0.9139311852712282}",30,0,-37.15180905366389,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,0,-68.02437341892988,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.005, 'e': 0.9048374180359595}",30,4,-79.539152330429,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 1}",1
22,False,"{'a': 0.005, 'e': 0.9003245225862656}",30,0,-125.39170861774718,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
