trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-258.7503141558701,"{0: 7, 1: 1, 2: 6, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.680968370182413,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.60946657986358,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.00034539896873,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.40500787959776,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,5,-50.583106852150785,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.29256643457012,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.5472092478057,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.57494703003094,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,14,-32.52639811078055,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,2,-153.18787458235803,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,9,-88.60318191076276,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.015347814400656,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.476055665101505,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,10,-45.776913167401034,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-15.140343396735362,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.420039021567757,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.12184127064711,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.87491798946624,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.3615019703522,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-159.55335956842967,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.35686203000195,"{0: 11, 1: 3, 2: 11, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.81990366539486,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.72743662349242,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.45640124281235,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.87760766141706,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,3,-139.33847134290008,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,3,-92.9205836169119,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.05817576677704,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.49888012573196,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
